"","site","orient","disc","struc","both","PAR","NTU"
"1","fb","top","15",2,"Upwards Florence Bay",18.5,0.6
"2","fb","top","16",2,"Upwards Florence Bay",18.5,0.6
"3","fb","top","17",2,"Upwards Florence Bay",18.5,0.6
"4","fb","top","18",2,"Upwards Florence Bay",18.5,0.6
"5","fb","top","19",2,"Upwards Florence Bay",18.5,0.6
"6","fb","top","20",2,"Upwards Florence Bay",18.5,0.6
"7","fb","top","21",2,"Upwards Florence Bay",18.5,0.6
"8","fb","bot","22",2,"Downwards Florence Bay",2.075,0.6
"9","fb","bot","23",2,"Downwards Florence Bay",2.075,0.6
"10","fb","bot","24",2,"Downwards Florence Bay",2.075,0.6
"11","fb","bot","25",2,"Downwards Florence Bay",2.075,0.6
"12","fb","bot","26",2,"Downwards Florence Bay",2.075,0.6
"13","fb","bot","27",2,"Downwards Florence Bay",2.075,0.6
"14","fb","bot","28",2,"Downwards Florence Bay",2.075,0.6
"15","fb","top","29",3,"Upwards Florence Bay",18.5,0.6
"16","fb","top","30",3,"Upwards Florence Bay",18.5,0.6
"17","fb","top","31",3,"Upwards Florence Bay",18.5,0.6
"18","fb","top","32",3,"Upwards Florence Bay",18.5,0.6
"19","fb","top","33",3,"Upwards Florence Bay",18.5,0.6
"20","fb","top","34",3,"Upwards Florence Bay",18.5,0.6
"21","fb","top","35",3,"Upwards Florence Bay",18.5,0.6
"22","fb","bot","36",3,"Downwards Florence Bay",2.075,0.6
"23","fb","bot","37",3,"Downwards Florence Bay",2.075,0.6
"24","fb","bot","38",3,"Downwards Florence Bay",2.075,0.6
"25","fb","bot","39",3,"Downwards Florence Bay",2.075,0.6
"26","fb","bot","40",3,"Downwards Florence Bay",2.075,0.6
"27","fb","bot","41",3,"Downwards Florence Bay",2.075,0.6
"28","fb","bot","42",3,"Downwards Florence Bay",2.075,0.6
"29","pb","top","43",1,"Upwards Picnic Bay",12.88,1.62
"30","pb","top","44",1,"Upwards Picnic Bay",12.88,1.62
"31","pb","top","45",1,"Upwards Picnic Bay",12.88,1.62
"32","pb","top","46",1,"Upwards Picnic Bay",12.88,1.62
"33","pb","top","47",1,"Upwards Picnic Bay",12.88,1.62
"34","pb","top","48",1,"Upwards Picnic Bay",12.88,1.62
"35","pb","top","49",1,"Upwards Picnic Bay",12.88,1.62
"36","pb","bot","50",1,"Downwards Picnic Bay",1.65,1.62
"37","pb","bot","51",1,"Downwards Picnic Bay",1.65,1.62
"38","pb","bot","52",1,"Downwards Picnic Bay",1.65,1.62
"39","pb","bot","53",1,"Downwards Picnic Bay",1.65,1.62
"40","pb","bot","54",1,"Downwards Picnic Bay",1.65,1.62
"41","pb","bot","55",1,"Downwards Picnic Bay",1.65,1.62
"42","pb","bot","56",1,"Downwards Picnic Bay",1.65,1.62
"43","pb","top","57",2,"Upwards Picnic Bay",12.88,1.62
"44","pb","top","58",2,"Upwards Picnic Bay",12.88,1.62
"45","pb","top","59",2,"Upwards Picnic Bay",12.88,1.62
"46","pb","top","60",2,"Upwards Picnic Bay",12.88,1.62
"47","pb","top","61",2,"Upwards Picnic Bay",12.88,1.62
"48","pb","top","62",2,"Upwards Picnic Bay",12.88,1.62
"49","pb","top","63",2,"Upwards Picnic Bay",12.88,1.62
"50","pb","bot","64",2,"Downwards Picnic Bay",1.65,1.62
"51","pb","bot","65",2,"Downwards Picnic Bay",1.65,1.62
"52","pb","bot","66",2,"Downwards Picnic Bay",1.65,1.62
"53","pb","bot","67",2,"Downwards Picnic Bay",1.65,1.62
"54","pb","bot","68",2,"Downwards Picnic Bay",1.65,1.62
"55","pb","bot","69",2,"Downwards Picnic Bay",1.65,1.62
"56","pb","bot","70",2,"Downwards Picnic Bay",1.65,1.62
"57","pb","top","71",3,"Upwards Picnic Bay",12.88,1.62
"58","pb","top","72",3,"Upwards Picnic Bay",12.88,1.62
"59","pb","top","73",3,"Upwards Picnic Bay",12.88,1.62
"60","pb","top","74",3,"Upwards Picnic Bay",12.88,1.62
"61","pb","top","75",3,"Upwards Picnic Bay",12.88,1.62
"62","pb","top","76",3,"Upwards Picnic Bay",12.88,1.62
"63","pb","top","77",3,"Upwards Picnic Bay",12.88,1.62
"64","pb","bot","78",3,"Downwards Picnic Bay",1.65,1.62
"65","pb","bot","79",3,"Downwards Picnic Bay",1.65,1.62
"66","pb","bot","80",3,"Downwards Picnic Bay",1.65,1.62
"67","pb","bot","81",3,"Downwards Picnic Bay",1.65,1.62
"68","pb","bot","83",3,"Downwards Picnic Bay",1.65,1.62
"69","pb","bot","84",3,"Downwards Picnic Bay",1.65,1.62
